TITLE="Graphics"
VARIABLES= "t, s", "T0, K", "Ts, K", "Ti, K", "Ts+1, K", "q_d, W", "q_g, W", "dM, kg/s", "rho, kg/m^3", "u_r, m/s", "p, m/(cell size) ", "inter, m" 
0.118 300.69 311.568 322.444 384.452 279464 279464 0 0.563114 0 1.5 0.0005
0.119 300.712 311.629 322.501 384.49 279374 279374 0 0.563059 0 1.5 0.0005
0.12 300.734 311.691 322.557 384.527 279284 279284 0 0.563004 0 1.5 0.0005
0.121 300.756 311.753 322.614 384.565 279196 279196 0 0.562949 0 1.5 0.0005
0.122 300.779 311.814 322.67 384.603 279108 279108 0 0.562893 0 1.5 0.0005
0.123 300.802 311.875 322.727 384.641 279022 279022 0 0.562838 0 1.5 0.0005
0.124 300.825 311.936 322.783 384.678 278936 278936 0 0.562783 0 1.5 0.0005
0.125 300.849 311.997 322.839 384.716 278850 278850 0 0.562727 0 1.5 0.0005
0.126 300.873 312.058 322.895 384.754 278766 278766 0 0.562672 0 1.5 0.0005
0.127 300.898 312.119 322.951 384.792 278682 278682 0 0.562616 0 1.5 0.0005
0.128 300.922 312.179 323.007 384.83 278599 278599 0 0.562561 0 1.5 0.0005
0.129 300.948 312.24 323.063 384.868 278517 278517 0 0.562505 0 1.5 0.0005
0.13 300.973 312.3 323.119 384.906 278435 278435 0 0.56245 0 1.5 0.0005
0.131 300.999 312.361 323.175 384.944 278355 278355 0 0.562394 0 1.5 0.0005
0.132 301.025 312.421 323.23 384.982 278274 278274 0 0.562339 0 1.5 0.0005
0.133 301.051 312.481 323.286 385.02 278195 278195 0 0.562283 0 1.5 0.0005
0.134 301.078 312.541 323.341 385.058 278116 278116 0 0.562227 0 1.5 0.0005
0.135 301.105 312.601 323.397 385.097 278037 278037 0 0.562172 0 1.5 0.0005
0.136 301.133 312.66 323.452 385.135 277960 277960 0 0.562116 0 1.5 0.0005
0.137 301.16 312.72 323.507 385.173 277883 277883 0 0.56206 0 1.5 0.0005
0.138 301.189 312.78 323.562 385.211 277806 277806 0 0.562004 0 1.5 0.0005
0.139 301.217 312.839 323.617 385.249 277730 277730 0 0.561948 0 1.5 0.0005
0.14 301.246 312.898 323.672 385.288 277655 277655 0 0.561893 0 1.5 0.0005
0.141 301.275 312.958 323.727 385.326 277580 277580 0 0.561837 0 1.5 0.0005
0.142 301.304 313.017 323.782 385.364 277506 277506 0 0.561781 0 1.5 0.0005
0.143 301.333 313.076 323.837 385.403 277433 277433 0 0.561725 0 1.5 0.0005
0.144 301.363 313.135 323.892 385.441 277359 277359 0 0.561669 0 1.5 0.0005
0.145 301.393 313.194 323.947 385.479 277287 277287 0 0.561613 0 1.5 0.0005
0.146 301.424 313.253 324.001 385.518 277215 277215 0 0.561557 0 1.5 0.0005
0.147 301.455 313.312 324.056 385.556 277143 277143 0 0.561501 0 1.5 0.0005
0.148 301.486 313.37 324.11 385.595 277072 277072 0 0.561445 0 1.5 0.0005
0.149 301.517 313.429 324.165 385.633 277002 277002 0 0.561389 0 1.5 0.0005
0.15 301.549 313.487 324.219 385.672 276932 276932 0 0.561333 0 1.5 0.0005
0.151 301.58 313.546 324.274 385.71 276862 276862 0 0.561277 0 1.5 0.0005
0.152 301.613 313.604 324.328 385.749 276793 276793 0 0.561221 0 1.5 0.0005
0.153 301.645 313.662 324.382 385.787 276724 276724 0 0.561165 0 1.5 0.0005
0.154 301.678 313.72 324.436 385.826 276656 276656 0 0.561109 0 1.5 0.0005
0.155 301.711 313.779 324.49 385.864 276588 276588 0 0.561053 0 1.5 0.0005
0.156 301.744 313.837 324.544 385.903 276521 276521 0 0.560997 0 1.5 0.0005
0.157 301.777 313.895 324.598 385.941 276454 276454 0 0.560941 0 1.5 0.0005
0.158 301.811 313.952 324.652 385.98 276388 276388 0 0.560885 0 1.5 0.0005
0.159 301.845 314.01 324.706 386.019 276322 276322 0 0.560829 0 1.5 0.0005
0.16 301.88 314.068 324.76 386.057 276256 276256 0 0.560773 0 1.5 0.0005
0.161 301.914 314.126 324.814 386.096 276191 276191 0 0.560717 0 1.5 0.0005
0.162 301.949 314.183 324.867 386.134 276126 276126 0 0.56066 0 1.5 0.0005
0.163 301.984 314.241 324.921 386.173 276062 276062 0 0.560604 0 1.5 0.0005
0.164 302.019 314.298 324.975 386.212 275998 275998 0 0.560548 0 1.5 0.0005
0.165 302.055 314.355 325.028 386.25 275934 275934 0 0.560492 0 1.5 0.0005
0.166 302.091 314.413 325.082 386.289 275871 275871 0 0.560436 0 1.5 0.0005
0.167 302.127 314.47 325.135 386.328 275808 275808 0 0.56038 0 1.5 0.0005
0.168 302.163 314.527 325.189 386.367 275745 275745 0 0.560324 0 1.5 0.0005
0.169 302.199 314.584 325.242 386.405 275683 275683 0 0.560267 0 1.5 0.0005
0.17 302.236 314.641 325.295 386.444 275622 275622 0 0.560211 0 1.5 0.0005
0.171 302.273 314.698 325.349 386.483 275560 275560 0 0.560155 0 1.5 0.0005
0.172 302.31 314.755 325.402 386.522 275499 275499 0 0.560099 0 1.5 0.0005
